CNTRYID,CNT,CNTSCHID,SN,CNTSTUID,PVMATH,PVREAD,PVSCIE,PVSCEP,PVSCED,PVSCID,PVSKCO,PVSKPE,PVSSPH,PVSSLI,PVSSES,SMINS,SMINH,ESCS,IBTEACH,TEACHSUP,ENVAWARE,JOYSCIE,INTBRSCI,SCIEEFF,MOTIVAT,EPIST,ICTHOME,INTICT,COMPICT,AUTICT,INSTSCIE,TDTEACH,ADINST
158,TAP,15800039,1384,15806437,367.234,403.0312,361.5823,343.116,349.4722,346.3597,344.7086,367.0568,356.2309,348.0503,339.5657,180,3,-.2672,.9452,-1.0718,-.3864,-.6306,.5305,.1387,-.5996,-.1933,8,.4098,.0226,-.4607,.3708,2.0781,1.3472
158,TAP,15800090,3225,15806439,447.9763,317.9914,364.4857,373.9176,360.7451,387.8502,375.5698,366.7861,362.2202,356.3353,388.0693,300,5,-.4644,-.1888,.7896,-.2861,-.6427,-.2926,-2.3448,-.9976,-.1961,7,-.8338,-1.5883,-.6073,.3708,99,99
158,TAP,15800098,3529,15806443,408.5921,312.6569,378.3816,414.1835,411.8103,351.2061,388.3829,354.678,373.6831,359.4637,365.331,100,1.66666666666667,-.1621,-.121,1.4475,1.6265,-.4318,-.0095,3.2775,.0614,-.1933,7,.9718,1.0433,.2286,-1.9301,-.6102,.3181
158,TAP,15800107,3861,15806444,475.0993,452.3989,451.8873,486.9669,439.5765,496.7526,507.3704,456.9257,452.8187,461.2285,481.9659,200,3.33333333333333,-.0197,-.5018,-.4496,-.2342,.5094,.0223,-1.6218,.4094,-.5013,4,.4012,.0226,-.2503,1.0558,-.9523,.6524
158,TAP,15800069,2476,15806445,339.0551,351.1285,297.12,280.9948,328.8049,322.8698,261.351,317.5126,304.914,291.3562,287.0606,120,2,.4682,-2.4245,-1.0718,-1.3561,.475,-.4741,-.2154,.1111,-1.2113,11,-.2366,-.711,-.1563,.3708,-.6102,-.3816
158,TAP,15800198,7111,15806449,414.3938,376.1605,383.6016,396.569,415.3549,361.4379,392.014,379.1854,428.2607,399.4151,381.2286,240,4,.0184,-.0967,-.4082,-.3864,-2.1154,-.2865,.9704,-.1651,-.1933,8,-.0862,.0226,-.4607,1.7359,2.0781,2.0469
158,TAP,15800103,3719,15806453,404.5247,387.5343,416.6079,402.9155,403.9655,425.9982,405.9205,403.0898,407.8888,402.4396,411.9534,50,.833333333333333,-.0427,-.121,-1.0718,-3.3765,.5094,1.2508,-1.0524,-2.685,-.1933,6,.6515,.0226,2.0955,.3708,.4505,-.3816
158,TAP,15800061,2177,15806456,502.7815,451.0095,475.4216,451.4885,468.4271,481.2232,474.1484,476.0091,465.3523,469.3385,467.9347,135,2.25,-.012,3.1829,1.4475,1.0361,.5094,.8086,.3155,.4094,1.225,8,-.2479,.0226,-.1563,-.36,-.1329,-.3816
158,TAP,15800068,2428,15806458,462.3684,448.1731,469.4344,449.3411,467.4213,475.7238,489.6629,473.0989,445.5473,468.8386,462.755,100,1.66666666666667,-1.4174,-1.7159,-.1164,.0194,-.8208,-.9308,-1.0524,-.6127,-.1933,3,-.7114,-1.0611,-.7639,-1.9301,99,99
158,TAP,15800088,3147,15806459,405.2338,402.885,446.48,481.8623,407.0726,431.4843,461.5449,429.9735,446.0153,447.1888,431.5881,200,3.33333333333333,.1098,3.1298,1.4475,.5082,2.1635,-.7547,3.2775,-.8006,2.1552,8,.2842,1.9359,2.0955,-.7778,-.878,-.3816
158,TAP,15800082,2944,15806461,538.7567,427.1943,472.5162,474.2468,437.4769,496.3287,466.982,473.7402,438.028,459.0649,476.9568,400,6.66666666666667,-.2293,-.7394,-.3225,-.0809,.5094,.1738,-.4136,-.4982,-.1933,10,.4121,-.5836,-.1563,-.2874,99,99
158,TAP,15800093,3319,15806462,372.0493,341.8483,347.9808,317.2702,323.0746,300.776,313.8725,334.8081,349.0401,353.1078,300.0577,240,4,-2.1055,.9452,.9209,-.8415,-.6306,-.3744,-1.0524,-.9233,-.1933,5,-.0862,.0226,.1216,-.7778,.4505,.3379
158,TAP,15800018,637,15806471,244.212,196.6515,245.4505,243.0462,263.7438,257.9143,283.5284,264.7252,255.0631,254.2127,259.0997,0,0,-1.8083,-3.3405,-.1164,-.7774,.5094,-.3744,.3155,-.1651,-.5662,3,-2.9627,-2.664,-1.1252,-.5375,.4505,.6524
158,TAP,15800187,6725,15806472,313.224,243.2702,346.0294,340.388,348.4102,317.3689,319.6273,301.3537,387.2256,321.8266,320.0309,99999999, ,-1.9884,1.2018,-.1164,-2.1318,-.8208,-2.4981,.5037,-.1651,-.1933,11,-1.3452,.0226,-2.5027,1.356,-2.4476,-1.9656
158,TAP,15800183,6577,15806473,421.3796,359.5458,353.3981,360.7677,315.91,284.1324,328.8782,310.6094,331.6348,322.7105,341.108,180,3,-1.6303,-.121,-1.0718,-.4257,-.6306,.0627,.3155,-.1651,-.1933,11,-2.0011,.0226,.1216,1.7359,.9477,-1.2428
158,TAP,15800034,1208,15806474,377.7713,321.5189,362.4497,351.5299,382.9845,345.7538,339.4737,348.3884,340.1631,333.5668,336.9409,0,0,-.9376,.3258,1.4475,-3.3765,2.1635,2.4511,-1.0524,-.1651,-.1933,10,-.0862,.0226,.1216,-.3438,-.0718,-.787
158,TAP,15800129,4655,15806475,285.6978,297.1271,332.8369,316.2724,323.7414,371.7472,315.2806,363.0417,332.2549,319.7989,371.5684,90,1.5, ,-.121,-1.0718,-1.6533,-2.1154, ,-3.7565,-1.8309,-2.7904,9,-.8189,-.9484,-2.5027,-.3035,-.6924,-.3622
158,TAP,15800199,7152,15806482,399.8504,369.2544,352.8724,372.1044,332.7775,359.0638,362.2825,358.976,365.8181,362.4168,342.0993,0,0,.0254,-1.4979,-.1133,-.1323,-1.4717,-1.6194,.5181,.8101,-.8815,9,1.7671,-.4338,1.2841,.3708,2.0781,2.0469
158,TAP,15800005,167,15806483,516.2876,395.8391,469.3165,453.8796,459.8741,442.5796,458.8965,450.4745,441.4601,436.8162,470.4962,225,3.75,-1.122,-.5236,-.1164,.7589,2.1635,2.4511,-.4295,.959,-.1933,5, , , ,1.7359,-.0057,-.3369
158,TAP,15800113,4086,15806485,355.6617,223.2124,326.1037,285.0929,295.9685,303.6765,328.992,312.2297,342.3309,292.9769,321.635,200,3.33333333333333,-.348,1.1713,1.4475,-1.4321,.5094,.5305,1.8966,-1.0795,-.1933,11,-1.3452,-1.1926,-.8686,1.3336,.9477,-1.2428
158,TAP,15800156,5648,15806486,248.3174,278.6025,250.7031,204.5029,201.2717,338.7893,175.2716,334.306,263.4758,258.4494,271.2639,99999999, ,-.3704, , , , , , , , , , , , ,.3708,.191,.6524
158,TAP,15800066,2365,15806487,472.941,408.6895,390.1616,395.18,341.0107,415.3695,389.4896,368.0132,379.5389,358.8968,411.416,50,.833333333333333,-.1079,-.121,-1.0718,-1.2707,.5094,.1738,.3155,-.1651,-.1933,6,-.9334,.0226,.1216,.3708,.2483,.353
158,TAP,15800161,5828,15806488,525.9878,432.0194,486.4428,506.4982,450.58,506.4557,492.6871,475.84,517.3208,487.8075,520.3908,100,1.66666666666667,-.7638,.5431,1.4475,-1.0914,.5094,-.3744,.3155,-.3804,-.1933,9,-.9232,-1.5554,-.7639,1.7359,.4505,-.3816
158,TAP,15800125,4533,15806490,489.6236,407.8855,477.9263,496.5691,475.0777,470.1549,482.9222,466.6987,502.6386,488.3665,473.5381,225,3.75,-1.5652,-.4948,-1.0255,-.5596,1.0914,.7305,-1.2155,-.1213,.564,5,-.5743,.2753,.601,.3708,-1.7885,-1.2428
158,TAP,15800007,253,15806491,485.9578,478.3813,477.5886,482.7272,467.4413,502.7447,494.7544,481.5954,488.1979,474.2421,495.9702,150,2.5,.2317,-.121,-1.0718,-.5294,.0992,-.0529,-.2162,-.4982,-.5013,5,-.0692,.0226,.1216,.3708,-.6102,.0214
158,TAP,15800013,454,15806495,325.3494,290.9236,320.9471,362.4059,306.4811,330.1982,349.9758,308.9955,315.4584,309.7194,321.2724,110,1.83333333333333,.3034,-1.2583,1.4475,-.8143,.2483,.1738,.1747,-.4982,-.1933,7,-1.2749,-.9807,-.6959,.0125,-.2928,-.0001
158,TAP,15800164,5903,15806497,529.7326,477.3246,479.8998,489.1198,486.9854,483.7382,479.8012,499.6619,486.4327,498.5884,479.9384,100,1.66666666666667,.7166,-.121,-1.0718,-.3412,.5094,-.6418,-.0462,1.8543,-.1933, ,.0789,.0226,.1216,.0125,.9505,-.0001
158,TAP,15800103,3694,15806508,347.2958,380.1337,384.4747,367.3718,326.9362,391.8139,379.5077,382.9498,349.6608,386.1804,412.4947,45,.75,-1.3747,-3.3405,-1.7285,-.5727,-.8208,-.3744,.3155,-1.1822,-1.3692,11,-1.175,-1.1926,.1216,1.2423,.4505,-.3816
158,TAP,15800211,7578,15806509,503.4156,497.809,491.5734,501.0387,494.7079,498.8333,492.2784,499.6251,457.8493,498.1969,482.1812,0,0,-.3212, , ,-.0809,-.5781,-.2926,-.8919,1.8543,-.1933,8,-.5743,-1.0611,-.4784,.3708,99,99
158,TAP,15800015,535,15806511,448.5662,438.7804,456.0133,433.5906,451.6357,487.6866,433.6755,473.0303,450.0529,461.17,455.4724,100,1.66666666666667,-1.6405,-.9663,-.1164,-.2325,-.6306,-.2052,.3155,-.5643,-.5013,5,-.0862,-.4728,-.1563,.3708,99,99
158,TAP,15800208,7489,15806514,325.8472,267.8186,316.3762,321.2669,290.4129,349.1379,322.1003,302.1394,320.9463,335.6942,319.2313,0,0,.2204,1.0494,-1.0718,-1.2707,.5094,-.2926,1.1812,-1.1296,-1.6276,8,-.9232,-1.1926,-.7887,1.7359,.2564,-.0001
158,TAP,15800213,7657,15806517,543.8081,501.6582,486.4669,494.1381,478.1124,505.1681,501.4814,509.9435,488.1822,497.918,512.606,45,.75,.0281,-.961,1.4475,1.0361,-.8208,-.8816,.358,1.8543,1.1518,9,-.5743,-1.0611,-.7496,.3708,-.0718,.0214
158,TAP,15800048,1711,15806518,431.9027,438.8127,448.8996,445.7159,457.7618,466.8702,455.2293,461.3691,455.8796,453.3337,445.0047,225,3.75,-.4373,3.1829,1.4475,.0194,.5094,.5305,.3155,-.5643,-.1933,6,-.2479,.0226,.1216,1.5783,2.0781,2.0469
158,TAP,15800105,3789,15806519,436.817,345.7464,393.1875,409.7141,381.8173,397.7857,420.2339,383.7685,414.1449,370.4293,396.8572,315,5.25,.4937,-3.3405,-1.2362,-1.2707,.5094,-.3744,.3155,-.8133,-1.3692,5,-1.0588,-.3802,-2.5027,.7648,-.2213,-.3816
158,TAP,15800118,4279,15806521,387.5777,424.9229,444.9157,453.7767,423.6544,453.759,449.1278,436.7679,466.6327,455.7742,443.8383,250,4.16666666666667,-.2712,-1.09,-.3068,.0194,-1.1478,-.3744,.3155,-1.2338,-.1933,6,-.0862,-1.0611,-.959,1.7359,.4505,.6524
158,TAP,15800187,6730,15806531,453.1322,414.131,461.6841,445.5024,462.5244,450.2243,454.9064,454.0288,460.9436,452.7204,446.7674,180,3,-.3975,-.0258,-.4527,-.5541,-.4071,-.2865,.1258,-1.4159,-.1933,7,-.2479,.0226,.1216,.3708,2.0781,2.0469
158,TAP,15800101,3625,15806532,403.319,350.8356,358.8603,333.2228,362.1974,359.1836,329.7742,353.6367,365.7927,313.6344,327.5406,0,0,-.2916, , ,-1.487,-.8208,-.3744,.3155,-.4982,-1.2625,9,-.948,-.3827,.1216,1.7359,2.0781,2.0469
158,TAP,15800137,4956,15806537,468.6662,446.4804,443.9476,482.1593,385.1475,433.4398,464.1018,417.0289,471.3857,436.4082,456.1498,135,2.25,-2.3194,3.1829,1.4475,-.0809,2.1635,1.3588,3.2775,.1619,2.1552,1,-.0862,.0226,.1216,-.0086,.191,2.0469
158,TAP,15800072,2598,15806538,515.127,457.9959,492.8049,492.58,489.5557,521.2729,510.2091,484.717,471.3039,510.1701,521.5128,270,4.5,-.5657,.0476,.0832,2.2983,-.4593,.8529,.2973,.6507,1.1342,8,.8046,-1.0411,-.5079,1.2423,99,99
158,TAP,15800074,2653,15806539,505.4318,440.8975,489.8968,462.167,475.633,510.8751,467.8532,485.4,486.1427,504.9895,502.2358,225,3.75,-.6211,-.121,.9209,.0194,-.7676,-2.4981,-.898,-.9331,.8754,5,.381,-1.6542,-1.2688,-1.9301,.1354,-1.9656
158,TAP,15800063,2258,15806540,471.8562,450.234,491.2141,517.5738,470.4729,459.4264,525.253,452.7522,486.3214,486.2754,508.4508,225,3.75,-.524,-.0236,-.0116,-.2342,-.4318,-.2926,.1387,-1.1822,-.5809,10,-.59,.0226,-.5251,-.7778,.9505,1.3472
158,TAP,15800024,851,15806543,519.7874,489.4465,486.591,479.0312,439.1223,457.3418,486.2461,461.1511,483.0289,468.4156,487.5745,270,4.5,.0754,-.2238,-.7209,.0194,.5094,-.0529,.3155,.8598,-.1933,7,-.0862,-.7638,.1216,1.7359,-.6102,-.3816
158,TAP,15800147,5304,15806544,381.9975,366.5294,416.4764,433.5324,426.1835,401.2169,405.529,373.9091,433.3507,422.2125,394.4882,225,3.75,-.642,-.3297,1.4475,2.0177,1.1074,1.234,.1056,-1.1706,-.1933, ,-.0862,1.4967,-.959,.3708,.2483,.6524
